iter	Passed	Remaining
0	488	732681
1	891	667813
2	1259	628583
3	1353	506249
4	1701	508687
5	2102	523635
6	2508	535085
7	2931	546675
8	3336	552741
9	3729	555687
10	4048	548086
11	4457	552728
12	4882	558479
13	5246	556895
14	5676	562002
15	5768	535064
16	6174	538599
17	6640	546711
18	7088	552566
19	7467	552578
20	7860	553592
21	8212	551750
22	8595	551965
23	9008	554012
24	9357	552095
25	9766	553682
26	10118	552043
27	10457	549775
28	10815	548604
29	11173	547482
30	11546	547154
31	11751	539106
32	12060	536149
33	12462	537372
34	12825	536822
35	13195	536622
36	13621	538618
37	14164	544972
38	14532	544425
39	14877	543040
40	15262	543106
41	15603	541679
42	15979	541450
43	16349	541024
44	16815	543697
45	17225	544464
46	17576	543380
47	17898	541433
48	18276	541211
49	18636	540465
50	19048	541210
51	19438	541283
52	19793	540409
53	20182	540429
54	20561	540207
55	20968	540688
56	21368	540969
57	21750	540757
58	22127	540424
59	22145	531489
60	22241	524686
61	22577	523647
62	22653	516713
63	23052	517251
64	23487	518542
65	23870	518639
66	24239	518432
67	24604	518147
68	24723	512749
69	25021	511154
70	25434	511910
71	25640	508542
72	26011	508468
73	26496	510593
74	26827	509730
75	27176	509210
76	27511	508427
77	27865	508018
78	28223	507665
79	28585	507399
80	28758	503798
81	29120	503571
82	29488	503429
83	29835	502946
84	30195	502658
85	30565	502559
86	30926	502283
87	31243	501321
88	31616	501238
89	32013	501552
90	32354	500966
91	32713	500660
92	33060	500177
93	33433	500075
94	33813	500087
95	34150	499454
96	34467	498530
97	34829	498277
98	35173	497757
99	35502	497037
100	35967	498198
101	36442	499477
102	36489	494911
103	36849	494631
104	37211	494381
105	37567	494053
106	37900	493416
107	38228	492716
108	38608	492705
109	38983	492613
110	39311	491926
111	39677	491722
112	40006	491053
113	40331	490348
114	40709	490283
115	41102	490398
116	41472	490223
117	41803	489594
118	42207	489820
119	42536	489166
120	42940	489378
121	43282	488882
122	43636	488514
123	43982	488059
124	44310	487412
125	44647	486872
126	44934	485783
127	45275	485293
128	45600	484638
129	45961	484368
130	46312	483979
131	46682	483799
132	47033	483420
133	47408	483284
134	47781	483119
135	48129	482714
136	48529	482815
137	48899	482621
138	49272	482448
139	49669	482499
140	50055	482451
141	50439	482367
142	50854	482583
143	51226	482382
144	51648	482647
145	52046	482680
146	52453	482786
147	52833	482637
148	53225	482605
149	53567	482106
150	53940	481894
151	54322	481756
152	54667	481292
153	55045	481107
154	55424	480939
155	55501	478164
156	55846	477721
157	56200	477346
158	56582	477218
159	56953	476983
160	57282	476406
161	57609	475811
162	57939	475248
163	58324	475132
164	58699	474932
165	58883	473198
166	59241	472866
167	59604	472580
168	59958	472221
169	60291	471694
170	60649	471359
171	61061	471448
172	61429	471199
173	61811	471048
174	62141	470502
175	62497	470154
176	62882	470020
177	63236	469652
178	63619	469504
179	63950	468972
180	64303	468601
181	64687	468452
182	64885	466962
183	65069	465390
184	65282	464033
185	65484	462615
186	65825	462184
187	66272	462496
188	66644	462282
189	66988	461870
190	67308	461289
191	67632	460746
192	67974	460327
193	68333	460020
194	68729	459956
195	69116	459834
196	69499	459683
197	69888	459571
198	70313	459690
199	70653	459247
200	70999	458845
201	71368	458593
202	71705	458139
203	72056	457771
204	72361	457110
205	72715	456764
206	73069	456422
207	73489	456482
208	73854	456201
209	74202	455814
210	74606	455773
211	74965	455449
212	75308	455035
213	75664	454693
214	76006	454273
215	76355	453893
216	76711	453549
217	77070	453229
218	77470	453148
219	77811	452722
220	77988	451346
221	78431	451510
222	78840	451477
223	79218	451264
224	79538	450717
225	79946	450672
226	80344	450568
227	80700	450222
228	81047	449831
229	81413	449542
230	81777	449245
231	82178	449147
232	82573	449015
233	82946	448764
234	83321	448518
235	83667	448118
236	84077	448057
237	84438	447735
238	84819	447522
239	85206	447334
240	85552	446930
241	85944	446768
242	86343	446638
243	86721	446404
244	87100	446167
245	87448	445775
246	87766	445230
247	88116	444845
248	88493	444597
249	88918	444592
250	89264	444186
251	89626	443865
252	89997	443585
253	90369	443307
254	90735	443002
255	91087	442626
256	91465	442381
257	91831	442072
258	92192	441741
259	92542	441357
260	92919	441099
261	93334	441025
262	93687	440650
263	94041	440286
264	94403	439954
265	94731	439467
266	95075	439057
267	95433	438708
268	95688	437888
269	96068	437645
270	96418	437262
271	96772	436897
272	97097	436404
273	97444	436009
274	97753	435446
275	98061	434882
276	98415	434519
277	98742	434042
278	99134	433847
279	99485	433471
280	99813	432999
281	100084	432279
282	100352	431552
283	100641	430914
284	100949	430363
285	101279	429906
286	101619	429494
287	101985	429188
288	102319	428751
289	102636	428240
290	102949	427720
291	103306	427375
292	103612	426826
293	103958	426440
294	104279	425955
295	104642	425641
296	105004	425321
297	105332	424863
298	105561	424009
299	105822	423288
300	105989	422197
301	106215	421344
302	106402	420343
303	106585	419328
304	106699	418050
305	106886	417065
306	107030	415918
307	107185	414821
308	107357	413796
309	107509	412696
310	107622	411457
311	107779	410390
312	107968	409454
313	108170	408566
314	108329	407526
315	108566	406779
316	108714	405707
317	108875	404686
318	109018	403607
319	109163	402538
320	109350	401631
321	109491	400562
322	109632	399495
323	109809	398566
324	109950	397513
325	110107	396522
326	110236	395436
327	110376	394392
328	110508	393329
329	110651	392308
330	110782	391253
331	110914	390204
332	111047	389167
333	111192	388175
334	111340	387200
335	111485	386218
336	111630	385240
337	111703	384023
338	111844	383042
339	111986	382072
340	112132	381117
341	112278	380169
342	112418	379208
343	112570	378287
344	112778	377562
345	112946	376706
346	113100	375807
347	113227	374823
348	113375	373912
349	113545	373078
350	113743	372339
351	113908	371496
352	114066	370636
353	114227	369786
354	114370	368884
355	114591	368239
356	114824	367630
357	114968	366741
358	115134	365927
359	115338	365237
360	115597	364724
361	115890	364319
362	116218	364024
363	116639	364019
364	116985	363777
365	117278	363372
366	117577	362983
