India/State/UT,Total Schools,Total Enrolment,Total Teachers,Number of Schools with Single Teacher,Number of CWSN Enrolments,Number of Transgender Enrolments,Number of Teachers with Professional Qualification,<=50,51-100,101-150,151-200,201-250,251-300,>300,SC Enrolment (in %),ST Enrolment (in %),OBC Enrolment (in %),General Enrolment (in %),Muslim Enrolment (in %),Christian Enrolment (in %),Sikh Enrolment (in %),Buddhist Enrolment (in %),Parsi Enrolment (in %),Jain Enrolment (in %),Other Enrolment (in %),Percentage of Schools with Functional Electricity connection,Percentage of Schools with Functional Girls Toilet,Percentage of Schools with Functional CWSN friendly Toilet,Percentage of Schools with Handwash Facility,Percentage of Schools with Drinking Water,Percentage of Schools having Library/ Reading corner,Percentage of Schools with Internet Facility,Percentage of Schools with Computer Facility,Percentage of Schools with Ramp for CWSN,Percentage of Schools with Playground,Percentage of Schools having Kitchen Garden,Percentage of Schools having Rainwater harvesting,Percentage of Schools having Waste collection system,Percentage of Schools having separate room for Head Teacher/Principal,Percentage of Schools with boundary wall,Year,Average Dropout Rate,,,,
India,1507708,250974927,9687487,108001,2248598,3563,8814777,28.9,25,15.4,9.3,6,4.1,11.3,19.2,10.4,45.2,25.2,14.2,1.8,1.8,0.5,0,0.2,0,78.2,93.2,22.7,87.3,96.7,81.7,28.8,40.4,46.5,81.8,23.3,22.5,64.8,44.5,60.4,2019,6.7,,,,
Andaman & Nicobar Islands,416,78601,5707,63,1015,3,5603,26.9,19.7,13.7,11.3,7.4,3.8,17.2,0,8.2,58.7,33.1,11,16.5,0.1,0.2,0,0,0.1,97.6,99.5,48.6,97.1,99.3,95.7,85.8,92.5,81,90.4,47.1,37.7,93.3,82.2,89.7,2019,5.4,,,,
Andhra Pradesh,62414,8728956,311497,8132,88463,220,321288,35.9,16.8,10.9,7.9,6.1,4.7,17.7,19.1,6,62.3,12.6,11.9,2.3,0,0,0,0,0,96.9,99.3,35.4,97.6,99.4,81,42.8,29.8,58.5,68.3,44.7,44,83.1,44.1,72,2019,5,,,,
Arunachal Pradesh,3628,330209,23579,769,2513,1,22823,55.9,23.7,9.4,4.1,2.1,1.3,3.5,0.3,72.1,4.9,22.7,1.3,17.9,0.1,2.8,0,0,0.3,66.7,90.8,14.8,83.1,94.3,90.1,25.6,29.5,29.6,83.4,57.9,28.5,62.8,53.4,31.4,2019,16,,,,
Assam,61345,7155029,350284,8967,105121,29,321941,37.5,26,14.3,7.9,4.8,2.9,6.6,7.4,13.5,35,44.1,39.8,4.4,0.1,0.3,0,0.1,0,61.7,91.2,10.7,84.5,97.5,79.1,10.6,21.5,23.1,70,44.5,12.3,54.8,38.5,32,2019,13.3,,,,
Bihar,92661,26442654,589255,4748,235123,2578,432545,4.5,11.2,15.7,14.8,12.8,9.9,31.1,19.5,1.3,63.4,15.8,20.1,0.1,0,0,0,0,0,85.2,96.1,21.2,89.9,98.1,87.6,21.8,15.5,37.3,87.5,37.2,26.2,75.4,48,73.8,2019,10.9,,,,
Chandigarh,231,275816,9448,0,1852,12,9498,1.7,3,3,2.2,2.6,2.2,85.3,18.8,0.3,31.1,49.8,4.7,0.7,2.2,0.1,0,0.1,0,100,100,84.4,100,100,97.8,100,100,95.7,90.5,55,69.7,97.8,92.2,97,2019,1.7,,,, 
Chhattisgarh,56799,5802319,261358,9275,72121,141,255848,42.5,27.7,12.6,6.4,3.6,2.2,5,13.1,33.1,42.1,11.7,1.8,0.8,0.3,0.1,0,0.1,0,95.8,98.5,18.5,96.2,99.1,96.6,30.9,29.8,38.2,85.8,47.7,34.5,72.8,47.7,59.5,2019,7.7,,,,
Dadra and Nagar Haveli and Daman & Diu,456,138332,4427,18,701,3,4460,14.7,12.5,10.1,9.2,7.7,7.2,38.6,2.2,54,17.9,25.9,6.3,1.9,0.1,0.1,0,0,0,99.3,99.3,63.4,98,99.6,94.7,92.5,95,83.6,90.4,43.2,44.7,87.3,69.1,82.9,2019,7.1,,,,
Delhi,5587,4714418,154230,15,48123,573,149880,5.6,4.7,4,3.4,3.7,3.7,74.9,16.8,0.7,35.1,47.4,14.3,0.4,2,0.1,0,0.3,0,99.6,99.6,77.8,99.1,99.6,96.6,98.7,97.9,95.2,91.4,53.8,65.9,97.7,87.4,97.8,2019,4.6,,,,
Goa,1515,312384,14227,114,2134,3,14022,33.8,22.4,13.1,8.5,5.5,3.4,13.3,2.1,14,29.5,54.4,8.9,7.4,0.1,0.1,0,0,0,98.8,99.1,47.8,97.6,99.5,96.4,84.7,91.1,73.1,91.8,41.1,36.7,85.6,69.3,75.4,2019,3.5,,,,
Gujarat,54013,11546747,379961,2576,115234,456,368532,15.3,20.1,17.7,13.8,9.9,7,16.2,7.5,18.3,47.7,26.5,11.1,0.6,0.1,0,0,0.2,0,99.1,99.2,53,96.9,99.1,94,79.1,77.8,73.7,91.6,42.6,49.7,83.3,64,84.9,2019,5.8,,,,
Haryana,23758,5757014,233785,969,67891,245,230823,11.6,17,17.4,14.6,10.8,7.6,20.9,22,0.1,40,37.9,6.4,0.2,3.3,0,0,0.1,0,97.9,98.5,41.4,96.5,99,87.2,51.6,59.3,59.4,84.6,38.2,35.2,78.5,54.8,78.7,2019,5,,,,
Himachal Pradesh,18037,1427181,100877,2816,14123,12,99016,68,22.3,6.5,2.2,0.8,0.2,0,28.5,6,16.6,48.9,2.2,0.2,0.8,1.2,0,0,0,98.9,98.9,30.5,98.1,99.6,89.4,44.2,52.1,48.9,82.8,37.3,36.8,73.2,48.9,68.3,2019,3.6,,,,
Jammu and Kashmir,29034,2742183,165089,3206,38452,103,161981,49.9,29.3,10.8,4.6,2.2,1.3,1.9,9.2,12.5,26.8,51.5,76.2,0.4,1.8,1.2,0,0,0.1,72.1,92.5,17.4,85.4,96.8,70,23.9,29,25,77.3,24.3,16.3,54,35,51.6,2019,5.5,,,,
